<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.03,0.08,0.15,0.63,0.45,0.3,0.22,693,0.36,0.19,500,1,97,179.875
0.02,0.07,0.12,0.66,0.45,0.31,0.24,674,0.37,0.2,500,1,99,186.125
0.02,0.08,0.14,0.65,0.43,0.3,0.23,676,0.36,0.18,500,1,91,182.0
0.03,0.1,0.14,0.6,0.41,0.27,0.22,732,0.34,0.16,500,1,80,172.375
0.03,0.08,0.13,0.63,0.43,0.28,0.24,709,0.36,0.19,500,1,93,181.0
0.03,0.1,0.16,0.62,0.44,0.3,0.24,714,0.36,0.18,500,1,90,179.75
0.04,0.11,0.16,0.61,0.44,0.29,0.24,721,0.36,0.19,500,1,94,181.75
0.04,0.09,0.15,0.63,0.43,0.31,0.25,690,0.37,0.19,500,1,96,186.0
0.04,0.12,0.18,0.6,0.41,0.29,0.23,723,0.35,0.17,500,1,85,174.625
0.05,0.13,0.21,0.57,0.39,0.25,0.2,825,0.31,0.14,500,1,71,157.375
0.05,0.13,0.2,0.56,0.36,0.23,0.18,875,0.3,0.13,500,1,64,149.875
0.04,0.11,0.18,0.58,0.38,0.25,0.19,858,0.31,0.15,500,1,73,156.25
0.06,0.11,0.17,0.61,0.42,0.26,0.2,835,0.33,0.17,500,1,85,166.75
0.02,0.08,0.15,0.61,0.4,0.28,0.21,857,0.34,0.15,500,1,77,169.625
0.04,0.1,0.16,0.58,0.4,0.28,0.22,867,0.34,0.15,500,1,73,170.75
0.03,0.09,0.16,0.61,0.41,0.29,0.23,853,0.35,0.17,500,1,83,174.875
0.07,0.21,0.36,0.25,0.12,0.06,0.04,624,0.11,0.04,500,1,19,57.375
0.03,0.09,0.15,0.62,0.42,0.3,0.24,821,0.36,0.17,500,1,86,179.625
0.02,0.08,0.14,0.64,0.42,0.29,0.22,787,0.36,0.19,500,1,93,178.125
0.03,0.09,0.14,0.61,0.39,0.26,0.2,814,0.33,0.17,500,1,84,164.75
0.04,0.11,0.18,0.54,0.35,0.22,0.17,920,0.29,0.12,500,1,62,144.25
0.06,0.14,0.21,0.49,0.32,0.21,0.15,985,0.27,0.1,500,1,49,133.375
0.05,0.13,0.2,0.49,0.32,0.22,0.18,994,0.28,0.1,500,1,49,140.875
0.05,0.11,0.19,0.55,0.37,0.25,0.2,924,0.31,0.13,500,1,66,156.25
0.04,0.09,0.16,0.6,0.4,0.29,0.23,844,0.34,0.15,500,1,76,172.375
0.03,0.1,0.17,0.59,0.4,0.28,0.23,820,0.34,0.16,500,1,78,171.625
0.05,0.13,0.19,0.59,0.4,0.27,0.22,841,0.34,0.16,500,1,80,168.375
0.05,0.11,0.18,0.55,0.39,0.26,0.21,902,0.32,0.13,500,1,66,160.75
0.04,0.12,0.18,0.59,0.4,0.26,0.22,877,0.33,0.15,500,1,76,166.875
0.05,0.15,0.24,0.53,0.37,0.26,0.2,931,0.31,0.12,500,1,61,156.5
0.05,0.14,0.22,0.56,0.42,0.29,0.22,868,0.33,0.14,500,1,72,166.875
0.04,0.09,0.16,0.59,0.42,0.29,0.24,795,0.35,0.18,500,1,88,176.75
0.04,0.13,0.2,0.54,0.38,0.27,0.22,846,0.32,0.13,500,1,65,162.125
0.04,0.11,0.18,0.55,0.39,0.27,0.23,840,0.33,0.14,500,1,68,166.0
0.04,0.12,0.19,0.55,0.38,0.25,0.2,839,0.31,0.13,500,1,67,157.375
0.06,0.13,0.19,0.52,0.34,0.23,0.19,857,0.3,0.12,500,1,59,147.875
0.06,0.13,0.19,0.49,0.32,0.22,0.17,906,0.28,0.1,500,1,48,139.0
0.05,0.15,0.24,0.49,0.31,0.21,0.16,914,0.27,0.1,500,1,49,134.5
0.06,0.14,0.22,0.5,0.31,0.2,0.16,930,0.27,0.1,500,1,51,134.875
0.05,0.13,0.24,0.47,0.31,0.2,0.15,1007,0.26,0.09,500,1,43,130.75
0.05,0.13,0.2,0.52,0.32,0.22,0.18,982,0.28,0.11,500,1,57,140.875
0.05,0.13,0.2,0.53,0.34,0.21,0.17,994,0.28,0.12,500,1,62,142.25
0.04,0.12,0.2,0.56,0.36,0.22,0.17,961,0.3,0.13,500,1,67,147.875
0.04,0.13,0.21,0.52,0.33,0.2,0.16,1025,0.28,0.11,500,1,57,137.75
